ID;Workload;PYTHON;JAVA;C_PLUS_PLUS;PROJECT_MANAGEMENT;DATA_ANALYSIS;MACHINE_LEARNING;TEAMWORK;CREATIVITY;FRONTEND_DEVELOPMENT;BACKEND_DEVELOPMENT
19;0,3845;0,6469;0,3682;0,4298;0,1392;0,7888;0,4584;0,3245;0,3689;0,5978;0,4465
20;0,5135;0,4771;0,5855;0,5277;0,4201;0,4277;0,7268;0,5052;0,6242;0,4359;0,5570
21;0,5317;0,5000;0,4717;0,2961;0,6421;0,6144;0,3068;0,5051;0,5837;0,5320;0,5116
22;0,5671;0,5632;0,7665;0,4568;0,6119;0,7246;0,7769;0,4992;0,4660;0,3018;0,0000
23;0,5739;0,5760;0,3118;0,6335;0,5275;0,6538;0,3590;0,3631;0,3703;0,5883;0,3286
24;0,4298;0,6960;0,4496;0,5422;0,4985;0,3517;0,6528;0,4775;0,3795;0,5639;0,4009
25;0,4151;0,5190;0,3346;0,4039;0,6025;0,5219;0,3786;0,5401;0,1551;0,6123;0,2751
26;0,6334;0,4326;0,5530;0,6430;0,5425;0,6643;0,7859;0,4769;0,5358;0,7482;0,6415
27;0,5786;0,3172;0,6175;0,3286;0,6511;0,5318;0,6862;0,4396;0,6502;0,6041;0,6595
28;0,5767;0,6849;0,6408;0,2703;0,7018;0,2628;0,7708;0,2937;0,4768;0,6650;0,7881
29;0,5169;0,4862;0,3965;0,5429;0,4084;0,5730;0,4249;0,6416;0,3015;0,6186;0,2090
30;0,5764;0,4199;0,2156;0,6708;0,3877;0,6857;0,4234;0,5822;0,6904;0,3847;0,4377
31;0,5761;0,5752;0,3572;0,4622;0,6190;0,4003;0,3476;0,6869;0,5067;0,6119;0,6204
32;0,5453;0,9091;0,6807;0,1531;0,7530;0,3733;0,7142;0,6208;0,4141;0,5045;0,5394
33;0,4591;0,5407;0,4278;0,6839;0,3512;0,5446;0,3439;0,6809;0,7026;0,5440;0,2648
34;0,4456;0,5093;0,1533;0,6740;0,5493;0,3853;0,4945;0,1880;0,7812;0,5152;0,4261
35;0,4541;0,5220;0,7063;0,4336;0,6451;0,3844;0,2587;0,5546;0,3435;0,4440;0,3718
36;0,4720;0,6014;0,4471;0,3588;0,6288;0,2869;0,6977;0,5688;0,3665;0,3285;0,5238
37;0,5613;0,5577;0,5909;0,4030;0,7451;0,4818;0,3546;0,6463;0,7615;0,2461;0,4670
38;0,5236;0,5004;0,3546;0,3164;0,4130;0,8340;0,5479;0,5685;0,5535;0,6959;0,4582
39;0,4329;0,3144;0,4895;0,5349;0,4759;0,5747;0,3442;0,6088;0,6496;0,4043;0,3932
40;0,5813;0,5048;0,3671;0,6966;0,5211;0,4404;0,5271;0,1802;0,6361;0,6528;0,6714
41;0,3046;0,4458;0,5308;0,5501;0,1027;0,1325;0,4138;0,3104;0,6000;0,1413;0,2166
42;0,5880;0,7285;0,4005;0,5522;0,7113;0,6009;0,1830;0,8031;0,6739;0,2768;0,7380
43;0,4110;0,6605;0,2639;0,4321;0,2365;0,4134;0,5126;0,4414;0,4749;0,4031;0,3917
44;0,4586;0,6559;0,5303;0,2521;0,6051;0,3319;0,4032;0,6312;0,6413;0,1784;0,4422
45;0,5535;0,7863;0,5468;0,4985;0,3758;0,3100;0,5663;0,5586;0,5503;0,5793;0,3362
46;0,5615;0,4781;0,6043;0,4506;0,5200;0,7148;0,5742;0,5707;0,1996;0,3095;0,6902
47;0,5277;0,5307;0,4483;0,4355;0,3607;0,6139;0,6506;0,7737;0,5528;0,5373;0,2482
48;0,4885;0,3401;0,3837;0,4602;0,4620;0,5214;0,6044;0,5220;0,6944;0,2640;0,4408
49;0,4631;0,4961;0,5249;0,5664;0,4469;0,5612;0,1569;0,3550;0,4981;0,4765;0,6746
